unidade_normalizada,competencia,ano,mes,quantidade,com_matricula,com_afericao,apenas_nome
"Comissão de Educação, Saúde e Cultura - CESC",2024-02,2024,02,2,0,0,0
Coordenadoria de Engenharia e Arquitetura - COTEA,2024-02,2024,02,3,0,0,0
Coordenadoria de Modernização e Informática - CMI,2024-02,2024,02,1,0,0,0
Diretoria de Administração e Finanças - DAF,2024-02,2024,02,3,0,0,0
Diretoria de Comunicação Social - DICOM,2024-02,2024,02,1,0,0,0
Divisão de Desenvolvimento de Recursos Humanos - DDRH,2024-02,2024,02,1,0,0,0
Escola do Legislativo - ELEGIS,2024-02,2024,02,4,0,0,0
Gabinete da Mesa Diretoria - GMD,2024-02,2024,02,3,0,0,0
Gabinete da Terceira Secretaria - GTS,2024-02,2024,02,1,0,0,0
Núcleo de Jornalismo e Comunicação Interativa - NJCI,2024-02,2024,02,7,0,0,0
Ouvidoria -OUV,2024-02,2024,02,2,0,0,0
Publicidade Institucional - PI,2024-02,2024,02,1,0,0,0
Setor de Apoio às Comissões Permanentes - SACP,2024-02,2024,02,4,0,0,0
Setor de Apoio às Comissões Temporárias - SACT,2024-02,2024,02,2,0,0,0
Setor de Ata e Súmula,2024-02,2024,02,1,0,0,0
Setor de Biblioteca - SEBIB,2024-02,2024,02,3,0,0,0
Setor de Desenvolvimento de Pessoas - SEDEP,2024-02,2024,02,1,0,0,0
Setor de Finanças - SEFIN,2024-02,2024,02,3,0,0,0
Setor de Patrimônio - SEPAT,2024-02,2024,02,1,0,0,0
Setor de Taquigrafia - SETAQ,2024-02,2024,02,45,0,0,0
Seção de Administração de Sistemas - SEASI,2024-02,2024,02,5,0,0,0
Seção de Elaboração Orçamentária - SEORC,2024-02,2024,02,4,0,0,0
Seção de Infraestrutura de Tecnologia da Informação - SEINF,2024-02,2024,02,5,0,0,0
"Unidade Desenvolvimento Urbano, Rural e Meio Ambiente - UDA",2024-02,2024,02,10,0,0,0
Unidade de Constituição e Justiça - UCJ,2024-02,2024,02,7,0,0,0
