ano,tipoProposicao,numero,siglaNumeroAno,categoria,veredito,emendas_acatadas,emendas_decididas,emendas_registradas,dataLeitura,ementa
2026,Projeto de Lei,2255,PL 2255/2026,aprovada_no_texto_original,aprovada,0,0,0,2026-03-31,"Altera a Lei nº 5.227, de 02 de dezembro de 2013, que ""reajusta a tabela de vencimentos da carreira Atividades de Trânsito do Quadro de Pessoal do Departamento de Trânsito do Distrito Federal – DETRAN/DF e dá outras providências""; e a Lei nº 5.245, de 16 de dezembro de 2013, que ""reajusta a tabela de vencimentos da carreira Policiamento e Fiscalização de Trânsito do Quadro de Pessoal do Departamento de Trânsito do Distrito Federal – DETRAN/DF e dá outras providências"" e dá outras providências. "
2026,Projeto de Lei,2259,PL 2259/2026,aprovada_no_texto_original,aprovada,0,0,0,2026-04-07,"Altera a Lei nº  7.735,  de  22 de julho de 2025, que dispõe sobre as diretrizes orçamentárias  para o exercício financeiro  de  2026 e dá outras providências. "
2026,Projeto de Lei,2295,PL 2295/2026,aprovada_com_emendas,aprovada,1,6,8,2026-04-27,"Altera a Lei nº 7.845, de 10 de março de 2026, que ""dispõe sobre as medidas a serem adotadas pelo Distrito Federal, na condição de acionista controlador, para o restabelecimento e fortalecimento das condições econômico-financeiras do Banco de
Brasília S.A. - BRB, e dá outras providências""."
2026,Projeto de Lei,2302,PL 2302/2026,aprovada_no_texto_original,aprovada,0,0,0,2026-04-28,"Autoriza o Poder Executivo a aderir à cooperação financeira com a União, nos termos da Medida Provisória nº 1.349, de 7 de abril de 2026, que instituiu o Regime Emergencial de Abastecimento Interno de Combustíveis, nas condições que especifica, e dá outras providências
."
2026,Projeto de Lei,2306,PL 2306/2026,pendente,pendente,0,0,0,2026-05-05,"Institui a Tabela Diferenciada para Remuneração de Serviços Assistenciais de Saúde no âmbito do Distrito Federal - Tabela SUS/DF, e dá outras providências."
2026,Projeto de Lei,2314,PL 2314/2026,pendente,pendente,0,0,0,2026-05-07,"Dispõe sobre a denominação da Avenida Principal localizada na Colônia Agrícola 26 de Setembro, na Região Administrativa Vicente Pires (RA-XXX)."
2026,Projeto de Lei,2318,PL 2318/2026,aprovada_no_texto_original,aprovada,0,0,0,2026-05-12,"Autoriza  o  Poder  Executivo  a  receber,  a título  de  doação  com  encargo,  bem imóvel que especifica. "
2026,Projeto de Lei,2321,PL 2321/2026,aprovada_no_texto_original,aprovada,0,0,0,2026-05-15,"Abre  crédito  suplementar  à  Lei Orçamentária  Anual  do  Distrito  Federal, no valor de R$ 118.904.549,00. "
2026,Projeto de Lei,2322,PL 2322/2026,pendente,pendente,0,0,0,2026-05-15,"Revoga a Lei nº 7.739, de 20 de agosto de 2025, que ""autoriza a aquisição pelo Banco de Brasília S.A. de 49% das ações ordinárias e de 100% das ações preferenciais do capital social do Banco Master S.A.""."
2026,Projeto de Lei,2323,PL 2323/2026,aprovada_com_emendas,aprovada,262,266,278,2026-05-18,"Dispõe sobre as diretrizes orçamentárias para o exercício financeiro de 2027 e dá outras providências.
"
